DateTime,Consumption,Anomaly
1997-01-01 00:00:00,950.0,0
1997-01-01 00:15:00,939.0,0
1997-01-01 00:30:00,943.0,0
1997-01-01 00:45:00,971.0,0
1997-01-01 01:00:00,1014.0,0
1997-01-01 01:15:00,1041.0,0
1997-01-01 01:30:00,1023.0,0
1997-01-01 01:45:00,1030.0,0
1997-01-01 02:00:00,1004.0,0
1997-01-01 02:15:00,995.0,0
1997-01-01 02:30:00,989.0,0
1997-01-01 02:45:00,984.0,0
1997-01-01 03:00:00,984.0,0
1997-01-01 03:15:00,991.0,0
1997-01-01 03:30:00,1000.0,0
1997-01-01 03:45:00,1013.0,0
1997-01-01 04:00:00,1014.0,0
1997-01-01 04:15:00,1001.0,0
1997-01-01 04:30:00,988.0,0
1997-01-01 04:45:00,1024.0,0
1997-01-01 05:00:00,1041.0,0
1997-01-01 05:15:00,1038.0,0
1997-01-01 05:30:00,1040.0,0
1997-01-01 05:45:00,999.0,0
1997-01-01 06:00:00,1043.0,0
1997-01-01 06:15:00,1064.0,0
1997-01-01 06:30:00,1077.0,0
1997-01-01 06:45:00,1058.0,0
1997-01-01 07:00:00,1068.0,0
1997-01-01 07:15:00,1075.0,0
1997-01-01 07:30:00,1104.0,0
1997-01-01 07:45:00,1083.0,0
1997-01-01 08:00:00,1096.0,0
1997-01-01 08:15:00,1067.0,0
1997-01-01 08:30:00,1078.0,0
1997-01-01 08:45:00,1080.0,0
1997-01-01 09:00:00,1105.0,1
1997-01-01 09:15:00,1112.0,1
1997-01-01 09:30:00,1121.0,1
1997-01-01 09:45:00,1099.0,1
1997-01-01 10:00:00,1080.0,1
1997-01-01 10:15:00,1083.0,1
1997-01-01 10:30:00,1138.0,1
1997-01-01 10:45:00,1078.0,1
1997-01-01 11:00:00,1101.0,1
1997-01-01 11:15:00,1103.0,1
1997-01-01 11:30:00,1119.0,1
1997-01-01 11:45:00,1119.0,1
1997-01-01 12:00:00,1121.0,1
1997-01-01 12:15:00,1113.0,1
1997-01-01 12:30:00,1046.0,1
1997-01-01 12:45:00,1087.0,1
1997-01-01 13:00:00,1086.0,1
1997-01-01 13:15:00,1099.0,1
1997-01-01 13:30:00,1089.0,1
1997-01-01 13:45:00,1128.0,1
1997-01-01 14:00:00,1112.0,1
1997-01-01 14:15:00,1112.0,1
1997-01-01 14:30:00,1099.0,1
1997-01-01 14:45:00,1098.0,1
1997-01-01 15:00:00,1095.0,1
1997-01-01 15:15:00,1088.0,1
1997-01-01 15:30:00,1069.0,1
1997-01-01 15:45:00,1089.0,1
1997-01-01 16:00:00,1067.0,1
1997-01-01 16:15:00,1101.0,1
1997-01-01 16:30:00,1100.0,1
1997-01-01 16:45:00,1102.0,1
1997-01-01 17:00:00,1136.0,1
1997-01-01 17:15:00,1130.0,0
1997-01-01 17:30:00,1110.0,0
1997-01-01 17:45:00,1102.0,0
1997-01-01 18:00:00,1090.0,0
1997-01-01 18:15:00,1043.0,0
1997-01-01 18:30:00,1025.0,0
1997-01-01 18:45:00,991.0,0
1997-01-01 19:00:00,1006.0,0
1997-01-01 19:15:00,983.0,0
1997-01-01 19:30:00,1006.0,0
1997-01-01 19:45:00,985.0,0
1997-01-01 20:00:00,968.0,0
1997-01-01 20:15:00,973.0,0
1997-01-01 20:30:00,1000.0,0
1997-01-01 20:45:00,1004.0,0
1997-01-01 21:00:00,1004.0,0
1997-01-01 21:15:00,1013.0,0
1997-01-01 21:30:00,1017.0,0
1997-01-01 21:45:00,1016.0,0
1997-01-01 22:00:00,1005.0,0
1997-01-01 22:15:00,1008.0,0
1997-01-01 22:30:00,997.0,0
1997-01-01 22:45:00,992.0,0
1997-01-01 23:00:00,991.0,0
